name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
Route Mobile,,route-mobile,Cloud Communications Partner,Partners,infra,https://routemobile.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ec756485-2e56-4067-89cf-70bccdfe8912-route-mobile-website-logo.png,Cloud communications provider (CPaaS),curated-public-facts,,,earlier-in-this-session,,,transactional SMS/OTP;customer messaging,phrase-match:whatTheyDo,,,,,"Cloud communications provider offering SMS, WhatsApp, RCS, voice and authentication services to enterprises including banks.",OTP and two-factor authentication delivery;Transactional SMS and alerts for banks;WhatsApp business messaging for financial services;Silent network authentication for fraud prevention,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f39f
Safebox,,safebox,Exhibitor,Exhibitors,other,https://safebox.life/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/53a15b3f-30ac-4d68-a2a5-685ab1a77657-safebox.png,"SEBI-regulated. Organise investments, insurance, and documents in one secure place. Give your family access so they are never left searching.",direct-meta-description,,https://safebox.life/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,wealth management;insurance distribution,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d4a
Safegold,SafeGold,safegold,Hydration Partner,Partners,other,https://www.safegold.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d76980cc-14d9-4a36-836e-7110f4f6ea28-safegold.png,,unsourced,,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Digital gold platform letting consumers buy, sell, store and redeem small quantities of physical gold through partner apps.",Digital gold savings in small denominations;Gold-backed loans and lending collateral;Embedded gold investing inside partner fintech apps;Physical gold redemption and delivery,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d4b
Salesforce,,salesforce,Exhibitor,Exhibitors,other,https://www.salesforce.com/in/?ir=1,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7f2f702f-5a5d-4e5a-b867-af43d59cfc30-SalesForce.png,"Salesforce is the #1 AI CRM, helping companies become Agentic Enterprises where humans and agents drive success together through a unified AI, data, and Customer 360 platform.",direct-meta-description,,https://www.salesforce.com/in/?ir=1,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d4c
Sarvam.ai,,sarvam-ai,Exhibitor,Exhibitors,ai,https://www.sarvam.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ba843033-834e-4f4f-ad95-deb7fe498ebb-Sarvam.ai.png,"Sarvam is India's full-stack sovereign AI platform, with speech-to-text, text-to-speech, translation, and conversational agents across 22 Indian languages. Start free.",apify:apify/website-content-crawler,meta-description,https://www.sarvam.ai/,2026-08-12T13:30:52Z,,,AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d4d
Sarvdhan,,sarvdhan,Exhibitor,Exhibitors,other,https://sarvdhan.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/cdb10212-2dc2-4ece-93b4-504327272172-sarvdhan-website-logo.png,Home Page Meta Description would be added here as per the need,direct-meta-description,,https://sarvdhan.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d4e
Scapia,,scapia,Sundowner,Partners,payments,https://www.scapia.cards/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/60c8eb49-d2eb-4604-8cee-f601ba28c346-scapia-website-logo.png,"Issued in partnership with Federal bank, the most rewarding credit card for the traveller in you. Get 10% rewards, zero forex, unlimited domestic lounge access and more at zero fees.",direct-meta-description,,https://www.scapia.cards/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",Travel-focused fintech offering a co-branded credit card and app that converts spending into travel rewards with zero forex markup.,Travel rewards co-branded credit card;Zero forex markup international spending;In-app flight and hotel booking with rewards;Card-linked travel benefits,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3a3
Scienaptic,,scienaptic,Exhibitor,Exhibitors,other,https://www.scienaptic.ai/global,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/b50cf45e-d726-49d2-aed8-c2e26fbbe2a9-scienaptic-website-logo.png,"Make faster AI credit decisions with our Business Rule Engine. Automate credit underwriting, deploy decisioning software, and reduce risk using a powerful credit decision engine for lenders.",direct-meta-description,,https://www.scienaptic.ai/global,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,credit underwriting;AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d4f
ScoreMe,ScoreMe Solutions,scoreme,Autonomous Lending Partner,Partners,other,https://scoreme.in,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/210cf9c7-f53f-447f-af8c-cd66ddc49357-ScoreMe.png,"Seamless credit decisions with ScoreMe’s AI tools for banks & NBFCs. Analyze bank statements, KYC, ITR & automate underwriting faster than ever.",apify:apify/website-content-crawler,meta-description,https://scoreme.in/,2026-08-12T13:30:52Z,,,credit underwriting;KYC and onboarding;AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Analytics company providing automated financial statement, bank statement and GST analysis to help lenders underwrite faster.",Automated bank statement analysis;GST and financial statement based underwriting;Fraud detection in submitted documents;Straight-through loan decisioning,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d50
Scrut Automation,,scrut-automation,Exhibitor,Exhibitors,other,https://www.scrut.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/70bce6a2-16c4-4bef-b035-9d454df79849-ScrutAutomation.png,"Automate compliance evidence collection, risk assessment, and vendor risk management with AI agents built for SOC 2, ISO 27001, and 60+ frameworks.",direct-meta-description,,https://www.scrut.io/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AML and compliance;risk management;AI and automation;collections and recovery,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d51
SEBI,,sebi,Exhibitor,Exhibitors,other,https://www.sebi.gov.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2a59424f-63b7-4ecc-ad92-790cb3b84c21-SEBI.png,Frequently Asked Questions FAQs on Cybersecurity and Cyber,apify:apify/website-content-crawler,homepage-body-text,https://www.sebi.gov.in/,2026-08-12T13:30:52Z,,,cybersecurity,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d52
Selkea,,selkea,Exhibitor,Exhibitors,other,https://www.selkea.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/3588a10c-61a8-4b06-8866-1a318fd1042b-selkea-website-logo.png,"Transform your regulatory compliance workflow with conversational AI. Get instant, verified answers from RBI regulations.",direct-meta-description,,https://www.selkea.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AML and compliance;AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d53
ShellKode,,shellkode,Bronze Partner,Partners,other,https://shellkode.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/9d4c39d2-9683-48dd-a1c4-b018f5e665ff-Shellkode.png,We engineer what's complex-you operate with confidence.,direct-meta-description,,https://shellkode.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d54
Signzy,,signzy,Silver Partner,Partners,regtech,https://www.signzy.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/333c2aa5-8b27-4125-b409-bd2e1e6d9394-Signzy.png,"Verify, onboard, and monitor users with Signzy’s KYC, KYB, and AML APIs. Trusted by 500+ global companies for secure and compliant user journeys.",direct-meta-description,,https://www.signzy.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,KYC and onboarding;AML and compliance;cloud infrastructure,phrase-match:whatTheyDo,,,,,"Digital onboarding and identity verification company providing no-code KYC, AML and video KYC workflows for banks and fintechs.",Video KYC for account opening;AML and sanctions screening;Document forgery detection;No-code onboarding workflow automation,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f393
Simple2Call,,simple2call,Exhibitor,Exhibitors,other,www.simple2call.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/e6b58ff5-7e31-4e8e-851b-721190354828-simple2call-website-logo.png,Simple2Call is a leading omnichannel contact centre and CX solution provider with Global calling. 40-Years proven track record and trusted by 200+ Enterprises in India.,direct-meta-description,,www.simple2call.com,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,customer communication,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d55
Simplifin AI,,simplifin-ai,Exhibitor,Exhibitors,ai,https://www.simplifin.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d9a52983-ab71-4b69-8979-31789db4dedc-simplifin-ai-website-logo.png,AI-based financial goal planning with our SIP mutual fund calculator. Plan your investments and calculate potential with our advanced SIP investment calculator,direct-meta-description,,https://www.simplifin.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,wealth management;AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d56
Sinch,,sinch,Gold Partner,Partners,infra,https://sinch.com/in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/1d782342-867c-449f-b1d8-f3681b4cd0a1-Sinch.png,Cloud communications provider (CPaaS),curated-public-facts,,,earlier-in-this-session,,,transactional messaging;OTP delivery,phrase-match:whatTheyDo,,,,,"Global customer communications cloud providing SMS, voice, email, WhatsApp and verification APIs used heavily in financial services.",OTP delivery and phone number verification;Transaction alerts at scale;Conversational messaging for banking support;Omnichannel marketing for financial products,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f37b
SINE IIT Bombay Business Incubator,,sine-iit-bombay-business-incubator,Ecosystem,Ecosystem,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c715188d-20a9-4784-a3e3-1734de20d2a1-SINE-logo-v2.png,,,,,,,,,,,,,,,,,,,,low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d57
Skan.ai,,skan-ai,Exhibitor,Exhibitors,ai,https://www.skan.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c30938d2-160c-4122-a98d-0b48a86211d1-skan.ai-website-logo.png,"Observe how work gets done. Skan AI gives enterprise AI the context it needs to improve operations, accelerate automation and deploy AI with confidence.",direct-meta-description,,https://www.skan.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d58
Smallest.ai,,smallest-ai,Exhibitor,Exhibitors,ai,https://smallest.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/82e6b500-6a16-4dac-981a-135adbac56ec-Smallest.ai.png,Power enterprise voice with Smallest AI,direct-meta-description,,https://smallest.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d59
Smartping,,smartping,Exhibitor,Exhibitors,other,https://smartping.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/24637adc-0684-4391-b03b-24e706b2d3c4-SmartPing.png,Enhance your business efficiency with Smartping. Find out how this innovative technology can streamline your operations.,direct-meta-description,,https://smartping.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d5a
Squareyards,,squareyards,Exhibitor,Exhibitors,other,https://www.squareyards.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/bc24a61c-65b7-4238-8fcf-c75503641cd5-SquareYard.png,Square Yards is India's Growing Real Estate Website for BUY / SALE / RENT that help find your dream home backed with Trusted Real Estate Developers,direct-meta-description,,https://www.squareyards.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d5b
State Bank of India,,state-bank-of-india,Brought To You By,Partners,banking,https://onlinesbi.sbi.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/e1925eeb-4eeb-4ae2-83d2-c5e59a2d9993-SBI.png,India's largest public sector bank,curated-public-facts,,,earlier-in-this-session,,,retail banking;digital lending;payments,phrase-match:whatTheyDo,,,,,"India's largest public sector bank, serving retail, corporate and rural customers through the country's widest branch and ATM network.",Mass-market retail banking and deposits;Government scheme and DBT disbursement;Rural and financial inclusion banking;Corporate and trade finance,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f357
Stripe,,stripe,Gold Partner,Partners,payments,https://stripe.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/be3ffb3d-c02e-4881-8446-bf7645299ea2-Stripe.png,"Stripe is a financial services platform that helps all types of businesses accept payments, build flexible billing models and manage money movement.",direct-meta-description,,https://stripe.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Global payments infrastructure company providing APIs for online payment acceptance, billing, marketplace payouts and embedded finance.",Developer-first online payment acceptance;Subscription and usage-based billing;Marketplace and platform payouts;Embedded financial products via Stripe Connect,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f38a
Sugary,,sugary,Exhibitor,Exhibitors,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a94aa6f4-d226-40db-9cd8-5c203ff624e1-sugary-website-logo.png,,,,,,,,,,,,,,,,,,,,low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d5c
Sumsub,,sumsub,Bronze Partner,Partners,regtech,https://sumsub.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/0a381030-d885-4f24-bb5d-939360e849a3-Sumsub.png,"Sumsub - Identity verification platform to secure the whole user journey ✔️Verify users, businesses or transactions, all while managing cases and deterring fraud ✔️ Highest pass rates ✔️4000+ clients ✔️Book a free demo now!",direct-meta-description,,https://sumsub.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,identity verification;fraud prevention,phrase-match:whatTheyDo,,,,,"Global verification platform offering KYC, KYB, AML screening, fraud prevention and transaction monitoring in a single toolkit.",Global KYC and identity verification;Business verification (KYB) for merchants;AML screening and transaction monitoring;Deepfake and document fraud detection,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3b2
Surepass Technologies,,surepass-technologies,Exhibitor,Exhibitors,infra,https://surepass.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/f1f93126-df15-4e39-9bdf-46c22cb051c6-Surepass.png,End-to-End user OnBoarding & Digital Identity Verification solutions for Enterprises | Digital KYC | Background Verification | Banking,direct-meta-description,,https://surepass.io/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,KYC and onboarding;identity verification,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d5d
Sutradhar,,sutradhar,Exhibitor,Exhibitors,other,https://adgrc.co.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/df79637f-995e-4a67-a273-ca9846e96b18-sutradhar-website-logo.png,Our team of experienced professionals will help you stay ahead of the game with our top-of-the-line technology solutions.,direct-meta-description,,https://adgrc.co.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d5e
Suvidhaa Pe,,suvidhaa-pe,Exhibitor,Exhibitors,other,https://suvidhaape.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/513e7af6-fa74-4e14-94e3-06dbaf15ddca-suvidhaa-pe-website-logo.png,"Simplify every payment with a fast, secure, and flexible digital system designed for your convenience. We offer smooth, reliable transactions anytime, anywhere, whether you're purchasing, sending money, or managing business payments. Our system adapts to your needs for a seamless experience.",apify:apify/website-content-crawler,homepage-body-text,https://suvidhaape.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d5f
Tata Capital,,tata-capital,Bronze Partner,Partners,lending,https://www.tatacapital.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/681205d4-0924-443b-a116-b3d0c8e83160-TataCapital.png,Indian non-banking financial company,curated-public-facts,,,earlier-in-this-session,,,retail lending;business loans,phrase-match:whatTheyDo,,,,,"Tata group's financial services arm providing retail, SME and corporate lending, wealth management and investment products.","Personal, home and business loans;SME and equipment financing;Wealth management and investment advisory;Digital loan origination and servicing",unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3b3
Tech Rajendra,,tech-rajendra,Exhibitor,Exhibitors,infra,https://www.techrajendra.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ab6cc571-cb10-4500-a0a5-20bb0f631ed5-tech-rajendra-website-logo.png,"Looking for top-notch IT solutions? Our skilled team provides the best IT services for busine­sses, big or small. Get started on your journey with us for effe­ctive results!",apify:apify/website-content-crawler,meta-description,https://www.techrajendra.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d60
The Fintech Meetup,,the-fintech-meetup,Ecosystem,Ecosystem,infra,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/1328f1a9-0293-48dc-8a64-52adbb7810d6-TFMLOGo.png,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d61
Timble Tech,,timble-tech,Exhibitor,Exhibitors,infra,https://timble.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ae9c7e12-e08b-49cb-9485-af537e92ef0b-timble-tech-website-logo.png,"Timble AI - Products across KYC, DPDP compliance, OCR & fraud, BGV and conversational AI.",direct-meta-description,,https://timble.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,KYC and onboarding;fraud prevention;AML and compliance;AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d62
Times Internet,,times-internet,Bronze Partner,Partners,other,https://timesinternet.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/5b6db146-f432-4705-b508-d1bb9bc52b33-TimesInternet.png,"From Mastheads, MRECs, and Interstitials to premium IAB standard formats, Times Internet offers a wide range of display advertising solutions to meet your brand's needs.",apify:apify/website-content-crawler,homepage-body-text,https://timesinternet.in/,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Indian digital products and media group operating consumer internet properties, some of which distribute financial products and content.",Digital distribution of financial products;Financial content and market news platforms;Audience targeting for fintech marketing;Consumer engagement for financial brands,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.55,normalised-from-numeric,0.55,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3b4
